predator;lagomorph;small_mammals;birds;reptiles;amphibians;carrion;invertebrates;plant_material;eggs;crustaceans
fox_1;43.26;5.43;5.43;10.97;0;20.93;65.88;19.22;0;0
fox_2;32.32;3.72;10.06;5.55;0;14.39;56.89;4.09;0;0
fox_3;31.4;4.2;7.4;2.7;0;2.9;77.2;34.1;0;0
fox_4;13.3;0;28.3;1.7;0;25;40;30;3.3;33.3
fox_5;8;12.5;41.1;1.8;0;37.5;55.4;25;2.7;20.5
badger_1;67.3;9.9;1.8;9.9;9.3;0;81.5;1.2;0;0
badger_2;56.3;4.8;4.8;16.5;26.2;0;76.5;20.4;0;0
badger_3;20.8;6.5;9.1;3.9;7.8;0;89.6;1.3;0;0
badger_4;8.8;0;4.4;7.3;5.9;0;97.1;32.3;0;0
badger_5;39.8;10.2;0.9;7.4;19.4;0;96.3;38;0;0
badger_6;37.6;4.9;4;11.9;8.9;0;86.1;53.5;0;0
badger_7;7.2;10.1;4.3;2.9;1.4;0;98.6;18.8;7.2;30.4
badger_8;13.9;25;6.9;1.4;1.4;0;88.9;13.9;1.4;5.6
mongoose_1;20;40;49;37.5;9;1;37.5;0;2;0
mongoose_2;25;48;8;51;40;10;57.5;18;3;0
mongoose_3;80;18;31;21;32;0;42;4;0;0
mongoose_4;2.4;17.1;19.5;9.8;4.9;26.8;61;56.1;0;9.8
mongoose_5;30;20;18;6;19;18;66;28;0;2
mongoose_6;0;76.9;15.4;0;15.4;15.4;61.5;30.8;0;0
genet_1;11.4;87.4;41.5;7.3;11.8;0;19.1;13;0.8;0
genet_2;5.6;77.8;50;5.6;16.7;0;29.2;33.3;4.2;16.7
genet_3;6.1;73.5;41.8;2;12.2;0;46.9;35.7;2;12.2
