"","area","ind","x","y","Genetta genetta","Vulpes vulpes","Meles meles","Herpestes ichneumon","Oryctolagus cunniculus","Small mammals","Alectoris rufa","totaldays"
"1","SABCOL","C2",37.0008,-6.50589,0,7,0,0,0,0,0,71
"2","SABCOL","C14",37.0007,-6.50639,0,1,0,0,0,0,0,58
"3","SABCOL","C17",37.0008,-6.50654,0,1,0,0,0,1,0,88
"4","SABCOL","C18",37.0008,-6.50653,0,3,0,1,0,0,1,73
"5","SABCOL","C24",37.0008,-6.50671,0,4,0,1,0,0,0,75
"6","SABCOL","C50",37.0006,-6.50625,0,3,0,1,1,0,0,63
"7","SABCOL","C54",37.0007,-6.50617,0,0,1,0,0,0,0,94
"8","SABCOL","C55",37.0007,-6.50613,0,13,0,0,1,0,1,99
"9","SABCOL","C56",37.0006,-6.50608,4,23,1,1,0,0,1,195
"10","SABCOL","C57",37.0007,-6.50596,0,3,0,1,0,0,0,75
"11","SABCOL","C65",37.0004,-6.50578,0,3,0,0,0,0,0,63
"12","SABCOL","C75",37.0004,-6.506,0,2,1,0,0,0,0,68
"13","SABCOL","C83",37,-6.50584,0,1,0,0,0,0,7,81
"14","SABCOL","C86",37.0001,-6.50599,0,4,0,0,0,0,0,66
"15","SABCOL","C106",37.0002,-6.50619,1,8,0,0,0,0,1,72
"16","SABCOL","C107",37.0002,-6.50625,1,5,0,0,0,0,0,71
"17","SABCOL","C111",37.0001,-6.50641,0,2,0,0,0,0,0,79
"18","SABCOL","C119",37.0002,-6.5065,1,2,0,1,0,0,0,68
"19","SABCOL","C121",37.0001,-6.50653,0,0,1,0,0,0,1,55
"20","SABCOL","C126",37.0001,-6.50659,0,0,0,0,0,0,1,60
"21","SABCOL","C131",37.0001,-6.50667,0,1,1,0,1,0,1,54
"22","SABCOL","C140",37.0002,-6.50657,1,1,0,0,0,3,0,72
"23","SABCOL","C141",37.0002,-6.5066,0,1,0,0,1,0,3,67
"24","SABCOL","C150",37.0003,-6.50663,4,3,0,1,0,3,7,92
"25","SABCOL","C153",37.0003,-6.50662,3,4,0,0,0,0,0,74
"26","SABCOL","C162",37.0003,-6.50617,0,0,0,3,0,0,0,80
"27","SABCOL","C165",37.0005,-6.50621,0,0,0,0,0,0,0,74
"28","SABCOL","C168",37.0005,-6.5064,3,25,0,2,0,0,3,169
"29","SABCOL","C172",37.0005,-6.50651,0,1,0,0,0,0,0,59
"30","SABCOL","C174",37.0006,-6.50653,0,1,0,0,0,0,0,66
"31","SABCOL","C176",37.0005,-6.50661,1,4,0,0,0,0,1,86
"32","SABCOL","C193",37.0005,-6.50671,1,4,0,0,0,0,0,94
"33","SABCOL","C197",37.0006,-6.50662,0,1,0,0,0,0,0,68
"34","SABCOL","C285",37.000259,-6.506738,0,1,0,0,2,2,0,63
"35","SABCOL","C316",37.000214,-6.50608,0,0,0,0,0,0,0,65
"36","SABMAR","M29",37.0117,-6.53268,0,0,0,0,0,0,0,84
"37","SABMAR","M36",37.0117,-6.53259,0,0,0,0,0,0,0,90
"38","SABMAR","M58",37.0118,-6.53248,0,2,0,0,0,0,0,81
"39","SABMAR","M65",37.0117,-6.5325,0,0,0,0,0,0,0,87
"40","SABMAR","M87",37.0118,-6.53294,0,3,1,3,8,3,0,78
"41","SABMAR","M136",37.0121,-6.53319,0,2,0,0,5,5,0,93
"42","SABMAR","M139",37.0121,-6.53326,0,2,0,0,2,0,1,94
"43","SABMAR","M144",37.0121,-6.5333,0,0,0,0,8,5,0,85
"44","SABMAR","M176",37.0119,-6.53274,0,1,0,0,1,0,0,81
"45","SABMAR","M207",37.0119,-6.5324,0,2,0,0,1,0,0,68
"46","SABMAR","M208",37.0118,-6.53236,0,1,0,0,3,0,0,95
"47","SABMAR","M215",37.0119,-6.53232,0,1,0,0,0,0,0,87
"48","SABMAR","M219",37.0119,-6.5324,0,0,0,0,0,0,0,84
"49","SABMAR","M304",37.0123,-6.53319,0,0,0,1,3,3,1,179
"50","SABMAR","M315",37.0122,-6.53305,0,0,1,0,1,3,0,85
"51","SABMAR","M381",37.012,-6.53234,0,0,0,0,1,0,0,63
"52","SABMAR","M457",37.0124,-6.53299,0,0,0,0,1,2,0,76
"53","SABMAR","M460",37.0123,-6.53303,1,1,1,0,0,0,0,81
"54","SABMAR","M518",37.0124,-6.53277,0,1,0,0,1,0,0,66
"55","SABMAR","M520",37.0124,-6.53269,0,0,0,0,1,0,0,90
"56","SABMAR","M531",37.0123,-6.5327,0,0,0,1,0,0,0,72
"57","SABMAR","M541",37.0124,-6.53262,0,3,0,0,1,3,0,78
"58","SABMAR","M581",37.0122,-6.53248,0,1,0,0,1,0,0,85
"59","SABMAR","M648",37.0122,-6.53216,0,0,0,0,7,0,0,60
"60","SABMAR","M664",37.0123,-6.53205,0,1,2,0,2,1,0,95
"61","SABMAR","M694",37.0122,-6.53231,0,2,0,0,2,1,0,84
"62","SABMAR","M702",37.0124,-6.53234,0,0,0,0,0,1,0,83
"63","SABMAR","M749",37.0124,-6.53262,0,2,0,0,5,3,0,63
"64","SABMAR","M820",37.0126,-6.53283,0,2,0,1,8,0,0,87
"65","SABMAR","M826",37.0126,-6.53289,0,2,2,2,14,0,0,83
"66","SABMAR","M843",37.0127,-6.53291,1,1,0,0,11,0,0,75
"67","SABMAR","M847",37.0127,-6.53294,0,4,1,0,8,0,0,67
"68","SABMAR","M849",37.0127,-6.53291,0,1,1,2,4,1,0,72
"69","SABMAR","M956",37.0123,-6.53214,2,8,1,3,178,18,0,187
"70","SABMAR","M986",37.0126,-6.53256,1,1,0,1,27,1,0,102
"71","SABOJILL","O6",36.9953,-6.51395,0,0,0,0,6,0,0,80
"72","SABOJILL","O8",36.9953,-6.51393,1,4,0,5,26,1,0,56
"73","SABOJILL","O23",36.9952,-6.51377,0,1,0,3,15,1,0,81
"74","SABOJILL","O42",36.9952,-6.51348,0,0,0,0,6,0,0,73
"75","SABOJILL","O45",36.9952,-6.51337,0,0,0,0,0,0,0,66
"76","SABOJILL","O54",36.9951,-6.51324,0,0,0,0,2,0,0,73
"77","SABOJILL","O67",36.9951,-6.51315,0,0,0,2,6,1,0,79
"78","SABOJILL","O72",36.995,-6.51316,0,5,2,0,5,0,0,77
"79","SABOJILL","O105",36.9951,-6.51297,0,3,0,1,13,0,0,65
"80","SABOJILL","O112",36.9952,-6.51309,0,0,0,0,0,0,0,91
"81","SABOJILL","O123",36.9952,-6.51326,0,0,0,2,8,0,0,88
"82","SABOJILL","O136",36.9953,-6.51347,0,1,0,0,14,0,0,88
"83","SABOJILL","O137",36.9953,-6.51346,0,4,0,4,15,0,0,60
"84","SABOJILL","O148",36.9952,-6.51372,0,0,0,0,22,0,0,72
"85","SABOJILL","O231",36.9953,-6.51387,0,2,0,1,10,0,2,74
"86","SABOJILL","O241",36.9954,-6.5137,0,1,0,1,9,0,0,68
"87","SABOJILL","O268",36.9953,-6.51349,0,4,0,2,16,0,0,68
"88","SABOJILL","O304",36.9953,-6.51295,3,7,2,2,15,6,1,193
"89","SABOJILL","O314",36.9952,-6.51295,0,2,0,1,3,0,0,78
"90","SABOJILL","O334",36.9954,-6.51306,0,0,0,0,3,2,0,81
"91","SABOJILL","O384",36.9955,-6.51361,0,1,0,1,4,0,0,76
"92","SABOJILL","O352",36.9956,-6.51323,0,1,0,0,1,0,0,65
"93","SABOJILL","O463",36.9956,-6.5135,1,3,0,1,14,0,0,77
"94","SABOJILL","O488",36.9954,-6.51294,0,0,0,0,15,0,0,80
"95","SABOJILL","O514",36.9955,-6.51307,1,2,0,0,3,0,0,70
"96","SABOJILL","O553",36.9957,-6.51353,1,2,1,0,7,0,0,75
"97","SABOJILL","O580",36.9957,-6.51319,0,3,0,4,18,13,0,176
"98","SABOJILL","O582",36.9956,-6.51311,0,4,0,1,19,0,0,65
"99","SABOJILL","O621",36.9957,-6.51304,0,0,0,1,4,0,0,66
"100","SABOJILL","O626",36.9957,-6.51311,0,0,0,1,1,0,0,64
"101","SABOJILL","O642",36.9957,-6.51325,0,1,0,2,3,0,0,82
"102","SABOJILL","O682",36.9958,-6.51349,0,1,0,0,28,1,0,77
"103","SABOJILL","O685",36.9958,-6.51338,0,0,0,0,3,2,0,78
"104","SABOJILL","O766",36.9959,-6.51339,0,3,0,0,1,1,0,68
"105","SABOJILL","O839",36.9958,-6.51304,1,1,0,0,6,0,0,83
